graph,n,m,n',m',s',kernelTime,fvs,time
PathAntlerH_F=100_K=13_R=10_A=7_M=5_V2,575,1280,0,0,63,84366,63,84375
Antler_F=70_K=3_R=40_A=1_M=8_V1,612,994,49,203,17,85585,41,85721
PathAntlerH_F=90_K=9_R=20_A=4_M=6_V2,614,1240,61,181,39,85145,55,85160
PathAntlerH_F=75_K=8_R=35_A=8_M=7_V1,616,1537,0,0,72,33203,72,33210
PathAntler_F=75_K=8_R=35_A=7_M=7_V2,616,1558,60,215,49,90133,72,90210
AntlerH_F=55_K=8_R=55_A=8_M=9_V2,618,2435,189,1294,26,185366,101,222480
PathAntlerH_F=65_K=7_R=45_A=3_M=8_V2,621,1718,83,417,40,105163,77,106641
AntlerH_F=50_K=7_R=60_A=4_M=10_V1,624,2487,213,1617,17,70146,103,343243
PathAntler_F=55_K=2_R=55_A=2_M=10_V2,625,1156,66,346,16,95186,49,96112
PathAntler_F=60_K=4_R=50_A=3_M=9_V2,626,1389,82,408,26,70119,62,71006
Antler_F=85_K=2_R=25_A=1_M=7_V1,627,776,27,85,10,37764,22,37772
AntlerH_F=85_K=2_R=25_A=2_M=7_V2,631,789,0,0,21,21281,21,21291
Antler_F=85_K=2_R=25_A=1_M=7_V2,632,764,29,85,10,23088,21,23094
PathAntler_F=85_K=2_R=25_A=1_M=7_V1,634,779,0,0,21,69502,21,69509
SingleTreeAntler_F=100_K=6_R=10_A=5_M=6_V2,646,945,62,184,18,160287,37,160303
PathAntlerH_F=70_K=6_R=40_A=5_M=8_V1,648,1490,44,176,45,41515,65,41578
PathAntlerH_F=65_K=5_R=45_A=2_M=9_V1,675,1534,95,537,23,54749,67,57060
AntlerH_F=90_K=7_R=20_A=4_M=7_V1,682,1278,147,605,9,70093,52,70346
SingleTreeAntler_F=90_K=6_R=20_A=4_M=7_V2,692,1211,135,603,4,90170,47,90568
SingleTreeAntler_F=60_K=5_R=50_A=4_M=10_V2,700,1798,67,354,43,140258,75,140838
Antler_F=65_K=2_R=45_A=2_M=10_V2,701,1104,45,202,20,25145,43,25283
PathAntler_F=65_K=8_R=45_A=6_M=9_V1,702,2200,74,393,58,105151,93,106343
Antler_F=100_K=2_R=10_A=1_M=7_V2,719,778,0,0,14,5244,14,5248
AntlerH_F=100_K=2_R=10_A=2_M=7_V2,719,778,0,0,14,5184,14,5187
AntlerH_F=100_K=3_R=10_A=2_M=7_V1,723,849,0,0,21,5236,21,5239
Antler_F=70_K=2_R=40_A=2_M=10_V2,747,1107,39,176,20,55392,40,55472
SingleTreeAntler_F=100_K=6_R=10_A=5_M=7_V1,752,1144,48,155,25,144487,40,144499
Antler_F=90_K=2_R=20_A=1_M=8_V2,755,867,0,0,19,5192,19,5196
