graph,n,m,n',m',s',kernelTime,fvs,time
PathAntlerH_F=90_K=9_R=20_A=4_M=6_V2,614,1240,197,802,3,11,55,5466
PathAntlerH_F=75_K=8_R=35_A=8_M=7_V1,616,1537,214,993,8,14,72,69998
PathAntler_F=75_K=8_R=35_A=7_M=7_V2,616,1558,208,963,10,16,72,80335
AntlerH_F=55_K=8_R=55_A=8_M=9_V2,618,2435,243,1825,9,16,101,137166
PathAntlerH_F=65_K=7_R=45_A=3_M=8_V2,621,1718,171,939,16,9,77,20221
AntlerH_F=50_K=7_R=60_A=4_M=10_V1,624,2487,224,1762,12,14,103,385364
PathAntler_F=55_K=2_R=55_A=2_M=10_V2,625,1156,70,383,14,4,49,1073
PathAntler_F=60_K=4_R=50_A=3_M=9_V2,626,1389,111,609,15,5,62,1981
Antler_F=85_K=2_R=25_A=1_M=7_V1,627,776,27,85,10,2,22,10
AntlerH_F=85_K=2_R=25_A=2_M=7_V2,631,789,17,49,14,2,21,5
Antler_F=85_K=2_R=25_A=1_M=7_V2,632,764,29,85,10,2,21,9
PathAntler_F=85_K=2_R=25_A=1_M=7_V1,634,779,32,108,8,2,21,9
SingleTreeAntler_F=100_K=6_R=10_A=5_M=6_V2,646,945,98,334,6,9,37,46
PathAntlerH_F=70_K=6_R=40_A=5_M=8_V1,648,1490,157,716,14,8,65,3113
PathAntlerH_F=65_K=5_R=45_A=2_M=9_V1,675,1534,116,645,17,7,67,6097
AntlerH_F=90_K=7_R=20_A=4_M=7_V1,682,1278,147,605,9,7,52,312
SingleTreeAntler_F=90_K=6_R=20_A=4_M=7_V2,692,1211,145,646,2,7,47,696
SingleTreeAntler_F=60_K=5_R=50_A=4_M=10_V2,700,1798,111,692,25,10,75,3089
Antler_F=65_K=2_R=45_A=2_M=10_V2,701,1104,45,202,20,2,43,157
PathAntler_F=65_K=8_R=45_A=6_M=9_V1,702,2200,258,1465,13,16,93,79833
AntlerH_F=100_K=2_R=10_A=2_M=7_V2,719,778,0,0,14,0,14,3
Antler_F=100_K=2_R=10_A=1_M=7_V2,719,778,0,0,14,1,14,5
AntlerH_F=100_K=3_R=10_A=2_M=7_V1,723,849,0,0,21,2,21,4
Antler_F=70_K=2_R=40_A=2_M=10_V2,747,1107,45,201,18,2,40,97
SingleTreeAntler_F=100_K=6_R=10_A=5_M=7_V1,752,1144,68,229,19,6,40,22
Antler_F=90_K=2_R=20_A=1_M=8_V2,755,867,0,0,19,1,19,4
PathAntlerH_F=95_K=12_R=15_A=7_M=7_V1,764,1973,350,1525,2,31,,
Antler_F=95_K=2_R=15_A=2_M=8_V2,779,879,0,0,19,1,19,5
AntlerH_F=75_K=9_R=35_A=6_M=9_V2,785,2384,235,1491,14,36,93,39001
PathAntler_F=90_K=6_R=20_A=4_M=8_V1,788,1320,128,452,15,10,53,502
SingleTreeAntler_F=80_K=5_R=30_A=3_M=9_V1,795,1457,107,504,14,8,55,164
Antler_F=75_K=3_R=35_A=2_M=10_V1,800,1236,36,140,28,3,45,25
PathAntler_F=90_K=8_R=20_A=7_M=8_V2,804,1653,246,950,9,17,68,7432
Antler_F=75_K=3_R=35_A=2_M=10_V2,805,1224,61,249,18,3,43,61
Antler_F=100_K=2_R=10_A=2_M=8_V1,824,897,0,0,17,1,17,3
SingleTreeAntler_F=75_K=4_R=35_A=4_M=10_V2,825,1468,55,223,33,3,55,34
AntlerH_F=90_K=2_R=20_A=2_M=9_V2,832,982,21,58,16,3,24,7
AntlerH_F=95_K=10_R=15_A=6_M=8_V2,849,2028,243,1243,8,19,82,183424
PathAntlerH_F=80_K=11_R=30_A=7_M=9_V2,849,2776,424,2360,1,65,,
Antler_F=80_K=3_R=30_A=2_M=10_V1,854,1251,40,147,24,4,41,26
PathAntlerH_F=100_K=7_R=10_A=3_M=8_V1,866,1412,173,623,8,14,55,4072
Antler_F=95_K=3_R=15_A=1_M=9_V1,889,1070,0,0,28,2,28,4
PathAntler_F=100_K=3_R=10_A=1_M=10_V2,1040,1228,35,89,16,6,28,17
